Date,Ambrosia,Artemisia,Asteraceae,Alnus,Betula,Ericaceae,Carpinus,Castanea,Quercus,Chenopodium,Cupressaceae,Acer,Fraxinus,Gramineae,Fagus,Juncaceae,Aesculus,Larix,Corylus,Juglans,Umbellifereae,Ulmus,Urtica,Rumex,Populus,Pinaceae,Plantago,Platanus,Salix,Cyperaceae,Filipendula,Sambucus,Tilia,MaxAirTempC,MinAirTempC,PrecipitationC,NumWeek
2015-12-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.5,5.800000190734863,0,49
2013-02-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.400000095367432,-2.799999952316284,0,6
2016-11-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.399999618530273,6.099999904632568,0.10000000149011612,47
2007-09-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,13.699999809265137,6.599999904632568,0,39
1992-07-15,0,0,1,0,0,0,0,2,0,0,0,0,0,13,0,0,0,0,0,0,0,0,116,0,0,0,0,0,0,0,2,0,0,19.899999618530273,13.5,0,29
2012-05-21,0,0,0,0,0,0,0,0,0,0,0,1,0,12,0,0,0,0,0,0,0,0,3,6,0,107,5,0,0,0,0,0,0,21.5,13.300000190734863,11.300000190734863,21
1992-06-15,0,0,0,0,1,0,0,1,2,0,0,0,0,141,0,1,0,0,0,0,1,0,139,4,0,2,2,0,0,0,0,7,2,26.799999237060547,16.399999618530273,0,25
2003-08-20,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,6,0,0,24.600000381469727,13.100000381469727,0,34
1995-05-29,0,0,0,0,0,0,0,0,0,0,0,0,0,30,1,0,0,0,0,0,1,0,17,0,0,22,5,0,0,0,0,2,0,17.399999618530273,11.199999809265137,0.8999999761581421,22
2005-08-27,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,19.299999237060547,9.100000381469727,0,34
2005-01-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.5,-13,0,1
1999-06-11,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,21,2,0,6,0,0,0,0,0,2,0,8,2.5999999046325684,0.4000000059604645,23
